P;X;X;R;X;X;X;X;R;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
X;X;X;R;X;X;X;X;R;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
X;X;X;R;X;X;X;X;R;X;X;X;X;X;X;X;X;X;X;X;X;L;X;X;X;X;X;X;X;X;T1;X;
X;X;X;R;G;X;X;X;R;X;X;X;X;X;X;X;X;X;X;X;X;L;X;X;X;X;X;X;X;X;X;X;
X;X;X;R;X;X;X;X;R;X;X;X;X;G;X;X;X;X;X;X;X;L;X;X;X;X;X;X;X;X;X;X;
X;X;X;R;X;X;X;X;R;D;D;D;D;D;D;D;D;D;D;D;D;L;X;X;X;X;X;X;X;X;X;X;
X;X;X;R;X;X;X;X;X;X;X;X;G;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;T2;X;X;X;
X;X;X;X;X;X;X;X;X;G;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
X;T1;X;X;X;X;X;X;X;G;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
X;X;X;X;X;X;X;X;R;U;U;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
X;X;X;X;X;X;X;X;R;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
X;X;X;X;X;X;X;X;R;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
X;X;X;X;X;X;X;X;R;X;X;X;X;G;X;T2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
X;X;X;X;X;X;X;X;R;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
X;X;X;X;X;X;X;X;R;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
X;X;X;X;X;X;X;X;R;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;H;
